#,Business Name,Town,Category,Google Rating,Reviews,Website URL,Website Notes,Instagram Handle,Followers,Contact,Lead Score,Pitch Angle
1,Aurora Hairdressing,"Northampton (NN1)",Hair Salon,4.8,176,aurorahairdressing.co.uk,"Older WordPress, basic photo grid, weak mobile UX",@aurorahairdressing,2265,"DMs active · 01604 230033",HIGH,"High-end hair clients won't book a £120 colour from a website that looks like 2014 — a cinematic salon site converts Instagram followers into bookings."
2,MAJOR Hairdressing,Northampton,Hair Salon,4.7,230,majorhairdressing.co.uk,"Visually dated, weak hero, no scroll animation, slow load",@majorhairdressing,3663,DMs active,HIGH,"32 years of brand equity wasted on a tired site — a premium rebuild could push them into the £150+ treatment market they deserve."
3,The Factory Hair Studio,"Northampton (NN5)",Hair Salon,4.7,120,thefactoryhairstudio.co.uk,"Generic template, no editorial photography",@the_factory_hair_studio,775,"01604 345946 · DMs active",MEDIUM,"Owner genuinely believes in great hair for all — a polished site would let him charge what his stylists deserve."
4,Maniatiko Greek Restaurant,"Northampton (NN1)",Restaurant,4.8,195,maniatikorestaurant.com,"Functional but dated, no booking flow, weak photography",@maniatiko_greek_restaurant,533,01933 522652,MEDIUM,"A cinematic site telling the Mani Peninsula story turns one-time diners into regulars and pulls event bookings."
5,Oblique Cafe Bar Kitchen,"Northampton (NN1)",Restaurant,4.7,573,oblique-northampton.co.uk,"Basic Squarespace look, photography underused",@oblique_kitchen_bar,4200,DMs active · contact form,HIGH,"They own the brunch aesthetic on Instagram — a premium site locks in private dining bookings and live-music event sales."
6,Matchbox Cafe,"Northampton (NN1)",Cafe,4.6,210,None,"No real website — only a third-party Foodjoyy listing",@matchboxcafenorthampton,980,DMs active,HIGH,"Highest-trafficked street in Northampton, vegan-friendly niche, zero website — a modern site captures every Google search for 'vegan Abington Street'."
7,Magee Street Bakery,"Northampton (NN5)",Bakery,4.7,850,mageestreetbakery.co.uk,"Plain Wix-style, weak typography, no online ordering",@mageestbakery,9642,DMs very active,HIGH,"Nearly 10k engaged IG followers + queues daily — a site with order-ahead and brunch booking converts massive existing demand into revenue."
8,Duston Village Bakery,"Duston, Northampton (NN5)",Bakery,5.0,140,dustonvillagebakery.co.uk,"Pre-2015 design, tiny mobile font, no real photography",@dustonvillagebakery,1871,DMs active · Facebook reachable,HIGH,"Best bakery in Northants per reviews — a premium site unlocks wholesale and corporate cake orders they're currently missing."
9,The Good Loaf,"Northampton (NN1)",Bakery,4.6,330,thegoodloaf.co.uk,"Charity-style site, visually flat, weak storytelling",@goodloafuk,3256,DMs active · email public,HIGH,"Their social-enterprise story is genuinely powerful but invisible on the current site — a redesign turns mission into corporate catering contracts."
10,The Little Bakery of Happiness,"Wellingborough (NN8)",Bakery,4.9,165,thelittlebakeryofhappiness.co.uk,"Older theme, slow load, gluten-free niche buried",@littlebakeryofhappiness,2400,DMs active,HIGH,"Gluten-free is a high-intent search niche — a premium SEO-ready site would dominate Northants searches for years."
